
2026/05/03 (16:54:03) | ===> btop++ v.1.3.0
2026/05/03 (16:54:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/03 (18:36:10) | ===> btop++ v.1.3.0
2026/05/03 (18:36:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/03 (18:58:31) | ===> btop++ v.1.3.0
2026/05/03 (18:58:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/03 (19:03:35) | ===> btop++ v.1.3.0
2026/05/03 (19:03:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/03 (19:07:31) | ===> btop++ v.1.3.0
2026/05/03 (19:07:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/03 (20:31:29) | ===> btop++ v.1.3.0
2026/05/03 (20:31:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/03 (21:03:29) | ===> btop++ v.1.3.0
2026/05/03 (21:03:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/03 (23:19:11) | ===> btop++ v.1.3.0
2026/05/03 (23:19:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/03 (23:28:53) | ===> btop++ v.1.3.0
2026/05/03 (23:28:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/04 (09:28:11) | ===> btop++ v.1.3.0
2026/05/04 (09:28:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/04 (12:15:05) | ===> btop++ v.1.3.0
2026/05/04 (12:15:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/06 (10:30:18) | ===> btop++ v.1.3.0
2026/05/06 (10:30:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/08 (10:13:17) | ===> btop++ v.1.3.0
2026/05/08 (10:13:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/08 (14:03:40) | ===> btop++ v.1.3.0
2026/05/08 (14:03:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/15 (12:20:59) | ===> btop++ v.1.3.0
2026/05/15 (12:20:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/17 (23:04:23) | ===> btop++ v.1.3.0
2026/05/17 (23:04:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/17 (23:04:56) | ===> btop++ v.1.3.0
2026/05/17 (23:04:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/17 (23:05:17) | ===> btop++ v.1.3.0
2026/05/17 (23:05:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/23 (00:45:24) | ===> btop++ v.1.3.0
2026/05/23 (00:45:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/25 (11:29:34) | ===> btop++ v.1.3.0
2026/05/25 (11:29:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/25 (11:38:48) | ===> btop++ v.1.3.0
2026/05/25 (11:38:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/25 (11:46:26) | ===> btop++ v.1.3.0
2026/05/25 (11:46:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/25 (11:47:41) | ===> btop++ v.1.3.0
2026/05/25 (11:47:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/25 (11:53:18) | ===> btop++ v.1.3.0
2026/05/25 (11:53:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/25 (14:07:55) | ===> btop++ v.1.3.0
2026/05/25 (14:07:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/28 (14:46:15) | ===> btop++ v.1.3.0
2026/05/28 (14:46:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/28 (14:49:32) | ===> btop++ v.1.3.0
2026/05/28 (14:49:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/28 (14:52:12) | ===> btop++ v.1.3.0
2026/05/28 (14:52:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/28 (14:54:36) | ===> btop++ v.1.3.0
2026/05/28 (14:54:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/28 (14:54:41) | ===> btop++ v.1.3.0
2026/05/28 (14:54:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/05/28 (14:54:53) | ===> btop++ v.1.3.0
2026/05/28 (14:54:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
